Timestamp,Email Address,Animal,# of people interacting,Animal Position,Guest Interaction,Guest Demographics,Interaction Length,Assumed Emotion,Additional notes
5/31/2025 14:28:49,,reptile 1,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/o kids,00:28,Neutral,
5/31/2025 14:29:17,,reptile 1,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:42,Excitment,
5/31/2025 14:29:51,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:23,Excitment,
5/31/2025 14:31:13,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Taking pictures of animal",Friends,01:18,Neutral,
5/31/2025 14:31:50,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Couple,00:33,Neutral,
5/31/2025 14:32:43,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:47,Neutral,
5/31/2025 14:33:21,,reptile 1,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:26,Excitment,
5/31/2025 14:33:58,,reptile 1,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec)",Friends,00:37,Neutral,
5/31/2025 14:34:24,,reptile 1,2,Not moving (snake),Looking for animal (> 5 sec),Family w/ kids,00:07,Neutral,
5/31/2025 14:34:51,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec)",Couple,00:28,Neutral,
5/31/2025 14:35:27,,reptile 1,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:52,Excitment,
5/31/2025 14:36:21,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:24,Excitment,
5/31/2025 14:37:36,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:48,Neutral,
5/31/2025 14:39:18,,reptile 1,3,Not moving (snake),"Observing animal behavior, Pointing at animal",Friends,00:09,Neutral,
5/31/2025 14:40:13,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:11,Excitment,
5/31/2025 14:40:47,,reptile 1,2,Not moving (snake),Looking for animal (> 5 sec),Family w/ kids,00:05,Neutral,
5/31/2025 14:41:15,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:27,Neutral,
5/31/2025 14:41:46,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:14,Neutral,
5/31/2025 14:44:23,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:44,Excitment,
5/31/2025 14:46:44,,reptile 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:34,Neutral,
5/31/2025 14:48:00,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:11,Excitment,
5/31/2025 14:48:39,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:29,Neutral,
5/31/2025 14:49:18,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:16,Neutral,
5/31/2025 14:50:12,,reptile 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:10,Neutral,
5/31/2025 14:51:16,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal",Couple,00:31,Neutral,
5/31/2025 14:52:01,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:50,Neutral,
5/31/2025 14:52:29,,reptile 2,1,"Laying down (reptile, monkey, bear)",Observing animal behavior,Single,00:15,Neutral,
5/31/2025 14:53:17,,reptile 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:20,Excitment,
5/31/2025 14:58:26,,monkey 1,1,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ",Observing animal behavior,Single,00:20,Neutral,
5/31/2025 14:59:52,,monkey 1,1,"Sitting on tree (monkey or bear), Grooming ",Observing animal behavior,Single,00:44,Neutral,
5/31/2025 15:02:08,,monkey 1,4,"Sitting on tree (monkey or bear), Swinging on branches (monkey), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal, Taking pictures of animal, Trying to get animal attention",Family w/ kids,01:53,Excitment,
5/31/2025 15:04:18,,monkey 1,2,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal",Family w/o kids,02:05,Neutral,
5/31/2025 15:07:35,,monkey 1,5+,"Sitting on tree (monkey or bear), Swinging on branches (monkey), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal, Trying to get animal attention, Mimicking animal",Family w/ kids,01:34,Excitment,
5/31/2025 15:08:31,,monkey 1,2,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Taking pictures of animal",Couple,00:50,Neutral,
5/31/2025 15:10:20,,monkey 1,2,"Sitting on tree (monkey or bear), Swinging on branches (monkey), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal",Family w/ kids,01:37,Excitment,
5/31/2025 15:14:00,,monkey 1,2,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal",Couple,03:09,Neutral,Other person in couple even looking often seems uninterested 
5/31/2025 15:18:40,,monkey 2,3,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/o kids,00:20,Neutral,
5/31/2025 15:19:12,,monkey 2,2,"Sleeping (reptile, monkey, bear)",Observing animal behavior,Couple,00:10,Neutral,
5/31/2025 15:21:00,,monkey 2,2,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Couple,00:32,Neutral,
5/31/2025 15:21:59,,monkey 2,4,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:23,Neutral,
5/31/2025 15:23:08,,monkey 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:46,Neutral,
5/31/2025 15:23:53,,monkey 2,1,"Sleeping (reptile, monkey, bear)",Observing animal behavior,Single,00:09,Neutral,
5/31/2025 15:25:18,,monkey 2,5+,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:39,Neutral,
5/31/2025 15:26:46,,monkey 2,2,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Couple,00:52,Neutral,Mainly just chatting 
5/31/2025 15:27:37,,monkey 2,3,"Sleeping (reptile, monkey, bear)",Observing animal behavior,Family w/ kids,00:29,Neutral,
5/31/2025 16:03:07,,bear 1,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal",Friends,02:53,Neutral,Zoo keeper feeding. Fans starting.
5/31/2025 16:04:06,,bear 1,1,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal",Single,00:16,Neutral,
5/31/2025 16:07:06,,bear 1,2,"Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:08,Neutral,
5/31/2025 16:07:45,,bear 1,4,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal",Friends,00:31,Excitment,
5/31/2025 16:08:25,,bear 1,4,"Standing on four legs (reptile, monkey, bear)",Observing animal behavior,Friends,00:15,Neutral,
5/31/2025 16:09:54,,bear 1,2,"Standing on four legs (reptile, monkey, bear)",Observing animal behavior,Couple,00:21,Neutral,
5/31/2025 16:12:32,,bear 2,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Pointing at animal, Taking pictures of animal, Reading signs",Couple,00:21,Neutral,
5/31/2025 16:14:08,,bear 2,2,"Standing on four legs (reptile, monkey, bear), Sitting on tree (monkey or bear)",Observing animal behavior,Friends,00:21,Neutral,
5/31/2025 16:15:00,,bear 2,3,"Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:57,Neutral,
5/31/2025 16:17:07,,bear 2,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Pointing at animal, Taking pictures of animal",Family w/ kids,01:29,Neutral,
5/31/2025 16:17:50,,bear 2,4,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear)",Observing animal behavior,Family w/ kids,00:36,Excitment,
5/31/2025 16:21:53,,bear 2,5+,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear), Playing with other animals (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,03:07,Excitment,Some kids are sulking. Dad on phone.
5/31/2025 16:23:29,,bear 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:30,Neutral,
5/31/2025 16:25:39,,bear 2,3,"Laying down (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal, Trying to get animal attention, Reading signs, Waving Cheetos at bears (to get them to move?,)",Family w/o kids,01:56,Neutral,
5/31/2025 16:26:26,,bear 2,4,"Laying down (reptile, monkey, bear)",Observing animal behavior,Family w/o kids,00:47,Neutral,
5/31/2025 16:27:23,,bear 2,4,"Sleeping (reptile, monkey, bear), Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:42,Neutral,
5/31/2025 16:27:44,,bear 2,2,"Sleeping (reptile, monkey, bear), Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:10,Neutral,
5/31/2025 16:29:16,,bear 2,4,"Sleeping (reptile, monkey, bear), Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:38,Neutral,
5/31/2025 16:30:05,,bear 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal",Friends,00:40,Neutral,
5/31/2025 16:30:42,,bear 2,3,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:22,Excitment,
5/31/2025 16:36:32,,bear 1,2,"Standing on four legs (reptile, monkey, bear), Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal, Play fighting ",Family w/o kids,02:52,Neutral,
5/31/2025 16:46:09,,bear 1,2,"Standing on four legs (reptile, monkey, bear), Laying down (reptile, monkey, bear), Playing with other animals (reptile, monkey, bear), Play fighting, grooming ",Observing animal behavior,Couple,09:29,Excitment,
6/3/2025 16:42:02,,reptile 1,4,"Not moving (snake), Tongue out (reptile)","Observing animal behavior, Pointing at animal, Reading signs",Family w/ kids,00:48,Neutral,People on side looking in after their points
6/3/2025 16:42:38,,reptile 1,3,"Not moving (snake), Tongue out (reptile)","Observing animal behavior, Pointing at animal",Family w/o kids,00:20,Neutral,
6/3/2025 16:43:30,,reptile 1,3,"Not moving (snake), Tongue out (reptile)","Observing animal behavior, Pointing at animal, Reading signs",Family w/ kids,00:41,Excitment,
6/3/2025 16:49:33,,reptile 1,4,"Not moving (snake), Slithering (snake), Tongue out (reptile)","Observing animal behavior, Pointing at animal, Taking pictures of animal",Family w/ kids,00:29,Excitment,
6/3/2025 16:50:44,,reptile 1,2,"Not moving (snake), Slithering (snake)","Observing animal behavior, Pointing at animal, Reading signs",Family w/ kids,00:52,Excitment,
6/3/2025 16:52:21,,reptile 1,2,"Not moving (snake), Slithering (snake)","Observing animal behavior, Pointing at animal",Couple,00:17,Excitment,
6/3/2025 16:53:02,,reptile 1,2,"Not moving (snake), Slithering (snake), Tongue out (reptile)","Observing animal behavior, Pointing at animal, Taking pictures of animal, Trying to get animal attention",Couple,00:47,Neutral,Tap on glass
6/3/2025 16:58:19,,reptile 1,2,"Not moving (snake), Slithering (snake), Tongue out (reptile)","Observing animal behavior, Pointing at animal, Taking pictures of animal, Reading signs",Couple,00:59,Excitment,
6/3/2025 17:05:15,,reptile 3,2,Not moving (snake),Looking for animal (> 5 sec),Couple,00:19,Neutral,Gave up finding
6/3/2025 17:07:02,,reptile 3,4,Not moving (snake),"Looking for animal (> 5 sec), Pointing at animal, Reading signs",Family w/ kids,00:46,Excitment,
6/3/2025 17:09:11,,reptile 3,2,Not moving (snake),"Looking for animal (> 5 sec), Pointing at animal",Family w/o kids,00:15,Neutral,
6/3/2025 17:09:57,,reptile 3,2,Not moving (snake),"Looking for animal (> 5 sec), Pointing at animal",Couple,00:33,Neutral,Got closer to examine 
6/3/2025 17:10:36,,reptile 3,2,Not moving (snake),"Looking for animal (> 5 sec), Pointing at animal",Friends,00:28,Neutral,
6/3/2025 17:12:12,,reptile 3,2,,"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:11,Neutral,
6/3/2025 17:15:31,,reptile 3,3,Not moving (snake),Looking for animal (> 5 sec),Family w/ kids,00:24,Neutral,Kid lost interest 
6/3/2025 17:16:49,,reptile 3,1,Not moving (snake),Looking for animal (> 5 sec),Single,00:08,Neutral,
6/3/2025 17:27:59,,monkey 2,2,"Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Reading signs, Pointing at sign ",Couple,03:29,Neutral,One partner is reading signs with his back to the gorilla (not really paying attention to the animal)
6/3/2025 17:34:37,,monkey 2,4,"Laying down (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Pointing at animal, Taking pictures of animal",Family w/ kids,03:25,Neutral,
6/3/2025 17:39:28,,monkey 2,5+,Sitting not on tree (monkey or bear),"Observing animal behavior, Pointing at animal, Taking pictures of animal, Trying to get animal attention, Waving at animal",Family w/ kids,04:16,Neutral,"Carrying child so they can see
 Dad sitting on bench at 2:30 mark "
6/3/2025 17:44:23,,monkey 2,4,"Laying down (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Pointing at animal, Taking pictures of animal",Friends,04:44,Neutral,One member of group left at 2:45 
6/3/2025 18:15:28,,bear 1,3,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/o kids,00:24,Neutral,
6/3/2025 18:15:57,,bear 1,4,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:15,Neutral,
6/3/2025 18:17:33,,bear 1,5+,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:27,Neutral,
6/3/2025 18:19:08,,bear 1,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal, Looking for other animals ",Couple,00:47,Neutral,
6/3/2025 18:20:39,,bear 2,4,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:10,Neutral,
6/3/2025 18:21:53,,bear 2,2,"Sleeping (reptile, monkey, bear)",Observing animal behavior,Friends,00:11,Neutral,
6/3/2025 18:22:23,,bear 2,3,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:24,Neutral,
6/3/2025 18:29:31,,bear 2,5+,"Sleeping (reptile, monkey, bear), Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:36,Excitment,
6/3/2025 18:30:38,,bear 2,2,"Standing on four legs (reptile, monkey, bear), Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Friends,00:20,Neutral,
6/3/2025 18:32:50,,bear 2,2,"Standing on four legs (reptile, monkey, bear), Sleeping (reptile, monkey, bear), Going to the bathroom haha. Now digging?","Observing animal behavior, Pointing at animal",Couple,01:48,Neutral,
6/3/2025 18:45:52,,monkey 3,4,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal",Family w/ kids,00:39,Neutral,"Kid wants to see ""baboons"" but parents drag him to the leopard "
6/3/2025 18:51:11,,monkey 3,3,Sitting on tree (monkey or bear),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:46,Excitment,
6/3/2025 18:53:27,,monkey 3,2,Sitting on tree (monkey or bear),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:59,Neutral,
6/3/2025 18:55:06,,monkey 3,5+,Sitting on tree (monkey or bear),Looking for animal (> 5 sec),Family w/ kids,00:41,Neutral,
6/4/2025 16:27:38,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:07,Neutral,
6/4/2025 16:28:34,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Friends,00:15,Neutral,
6/4/2025 16:28:53,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/o kids,00:14,Neutral,
6/4/2025 16:29:50,,reptile 2,4,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:14,Neutral,
6/4/2025 16:31:14,,reptile 2,4,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/o kids,00:11,Neutral,
6/4/2025 16:31:44,,reptile 2,1,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Single,00:08,Neutral,
6/4/2025 16:34:01,,reptile 2,3,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:57,Neutral,
6/4/2025 16:34:32,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:17,Neutral,
6/4/2025 16:35:02,,reptile 2,1,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec)",Single,00:22,Neutral,
6/4/2025 16:36:04,,reptile 2,3,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Friends,00:21,Neutral,
6/4/2025 16:37:01,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:34,Neutral,
6/4/2025 16:38:02,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:13,Neutral,
6/4/2025 16:38:41,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/o kids,00:23,Neutral,
6/4/2025 16:39:32,,reptile 2,1,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec)",Single,00:31,Neutral,
6/4/2025 16:41:16,,reptile 2,3,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:17,Neutral,
6/4/2025 16:42:23,,reptile 2,3,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:23,Neutral,
6/4/2025 16:44:09,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec)",Friends,00:16,Neutral,
6/4/2025 16:44:33,,reptile 2,1,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Single,00:12,Neutral,
6/4/2025 16:45:34,,reptile 2,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:12,Neutral,
6/4/2025 16:46:16,,reptile 2,4,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:40,Neutral,
6/4/2025 16:50:35,,reptile 3,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:14,Neutral,
6/4/2025 16:52:34,,reptile 3,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:19,Neutral,
6/4/2025 16:57:10,,reptile 3,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:24,Excitment,
6/4/2025 16:57:37,,reptile 3,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:14,Neutral,
6/4/2025 16:58:56,,reptile 3,1,Not moving (snake),Looking for animal (> 5 sec),Single,00:11,Neutral,
6/4/2025 17:00:11,,reptile 3,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:14,Neutral,
6/4/2025 17:02:02,,reptile 3,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:19,Neutral,
6/4/2025 17:03:05,,reptile 3,2,Not moving (snake),Looking for animal (> 5 sec),Couple,00:16,Neutral,
6/4/2025 17:03:45,,reptile 3,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:14,Neutral,One almost gave up 
6/4/2025 17:14:12,,monkey 1,3,Sitting not on tree (monkey or bear),"Observing animal behavior, Reading signs",Family w/o kids,00:26,Neutral,
6/4/2025 17:14:44,,monkey 1,5+,Sitting not on tree (monkey or bear),"Observing animal behavior, Pointing at animal",Family w/ kids,00:11,Excitment,
6/4/2025 17:15:56,,monkey 1,3,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear)",Observing animal behavior,Family w/ kids,00:15,Neutral,
6/4/2025 17:17:30,,monkey 1,2,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear)",Observing animal behavior,Couple,00:12,Neutral,
6/4/2025 17:35:42,,bear 3,3,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:12,Neutral,
6/4/2025 17:37:55,,bear 3,5+,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/o kids,00:12,Neutral,Everyone is just passing by without looking
6/4/2025 17:39:12,,bear 3,3,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:15,Neutral,
6/4/2025 17:41:39,,bear 3,2,"Sleeping (reptile, monkey, bear)","Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Family w/ kids,01:21,Neutral,
6/4/2025 17:43:08,,bear 3,2,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Couple,00:34,Neutral,
6/4/2025 17:44:24,,bear 3,5+,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:21,Neutral,
6/4/2025 17:45:55,,bear 3,2,"Sleeping (reptile, monkey, bear)",Looking for animal (> 5 sec),Family w/ kids,00:08,Neutral,
6/4/2025 17:51:34,,bear 3,2,"Standing on four legs (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/o kids,00:18,Neutral,
6/4/2025 17:55:58,,bear 3,5+,"Standing on four legs (reptile, monkey, bear), Sitting on tree (monkey or bear), Climbing on trees","Observing animal behavior, Pointing at animal, Taking pictures of animal, Mimicking animal, Reading signs",Family w/ kids,03:56,Neutral,
6/4/2025 17:58:18,,bear 3,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Crouching and looking at animals ",Couple,01:10,Neutral,
6/4/2025 17:59:30,,bear 3,2,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Pointing at animal",Couple,00:41,Neutral,
6/4/2025 18:00:49,,bear 3,2,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear), Standing on two legs (monkey or bear)","Observing animal behavior, Pointing at animal",Couple,00:55,Neutral,
6/4/2025 18:03:41,,bear 3,5+,"Eating (reptile, monkey, bear), Sitting not on tree (monkey or bear)","Observing animal behavior, Pointing at animal",Family w/ kids,02:01,Curiosity,Guy says bae don't go anywhere the bus is coming 
6/4/2025 18:10:04,,bear 3,2,"Eating (reptile, monkey, bear), Standing on four legs (reptile, monkey, bear), Sitting not on tree (monkey or bear), Sitting on tree (monkey or bear), Standing on two legs (monkey or bear), Climbing ","Observing animal behavior, Pointing at animal",Couple,05:43,Neutral,
6/4/2025 18:18:38,,monkey 3,4,Sitting on tree (monkey or bear),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Family w/ kids,00:59,Neutral,
6/4/2025 18:20:14,,monkey 3,1,Sitting on tree (monkey or bear),Observing animal behavior,Single,00:07,Neutral,
6/4/2025 18:22:08,,monkey 3,2,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal",Family w/ kids,00:26,Excitment,
6/4/2025 18:26:32,,monkey 3,2,Sitting on tree (monkey or bear),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Friends,01:02,Neutral,
6/4/2025 18:31:10,,monkey 3,5+,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal",Family w/o kids,01:00,Excitment,Pause because the saw a bunny outside 
6/4/2025 18:34:04,,monkey 3,3,Sitting on tree (monkey or bear),"Observing animal behavior, Pointing at animal, Reading signs",Family w/o kids,00:50,Neutral,